symbol,name,verdict,notes
BTC-USDT,Bitcoin,Halal,Digital commodity, proof-of-work
ETH-USDT,Ethereum,Halal,Utility token, staking halal if non-lending
LTC-USDT,Litecoin,Halal,Payment coin, no ICO/pre-mine
ADA-USDT,Cardano,Halal,Proof-of-stake, staking halal in non-lending pools
MATIC-USDT,Polygon,Halal,Layer-2 utility, staking halal if compliant
LINK-USDT,Chainlink,Halal,Oracle utility token
XLM-USDT,Stellar,Halal,Cross-border payments
XTZ-USDT,Tezos,Halal,Staking halal if service-fee based
SOL-USDT,Solana,Halal,High-throughput L1
DOT-USDT,Polkadot,Halal,Governance utility
AVAX-USDT,Avalanche,Halal,Smart contract platform
ARB-USDT,Arbitrum,Halal,Layer-2 scaling
OP-USDT,Optimism,Halal,Layer-2 scaling
XDC-USDT,XDC Network,Halal,Enterprise blockchain
KAS-USDT,Kaspa,Halal,Proof-of-work, no haram exposure

